Average Domestic Airline Itinerary Fares By Origin City for 2013 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2023),2022 Passengers (10% sample),,,,,,,,,,,
248,SUN,Friedman Memorial,Sun Valley/Hailey/Ketchum,ID,300.76,393.38," 3,845 ",,,,,,,,,,,
249,EWN,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,441.00,576.82," 3,794 ",,,,,,,,,,,
250,CMI,University of Illinois/Willard,Champaign/Urbana,IL,521.56,682.18," 3,728 ",,,,,,,,,,,
251,LCH,Lake Charles Regional,Lake Charles,LA,500.88,655.14," 3,704 ",,,,,,,,,,,
252,SIT,Sitka Rocky Gutierrez,Sitka,AK,447.90,585.84," 3,447 ",,,,,,,,,,,
253,ROW,Roswell Air Center,Roswell,NM,514.72,673.25," 3,386 ",,,,,,,,,,,
254,ITH,Ithaca Tompkins International,Ithaca/Cortland,NY,496.12,648.91," 3,367 ",,,,,,,,,,,
255,ADQ,Kodiak Airport,Kodiak,AK,646.12,845.11," 3,364 ",,,,,,,,,,,
256,FSM,Fort Smith Regional,Fort Smith,AR,556.83,728.31," 3,321 ",,,,,,,,,,,
257,SJT,San Angelo Regional/Mathis Field,San Angelo,TX,457.14,597.92," 3,305 ",,,,,,,,,,,
258,SBY,Salisbury-Ocean City/Wicomico Regional,Salisbury,MD,422.73,552.92," 2,984 ",,,,,,,,,,,
259,ACT,Waco Regional,Waco,TX,457.94,598.98," 2,959 ",,,,,,,,,,,
260,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,300.23,392.69," 2,869 ",,,,,,,,,,,
261,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,429.35,561.58," 2,835 ",,,,,,,,,,,
262,CLL,Easterwood Field,College Station/Bryan,TX,451.36,590.37," 2,696 ",,,,,,,,,,,
263,LWS,Lewiston Nez Perce County,Lewiston,ID,451.11,590.04," 2,577 ",,,,,,,,,,,
264,TYR,Tyler Pounds Regional,Tyler,TX,448.20,586.24," 2,555 ",,,,,,,,,,,
265,LAW,Lawton-Fort Sill Regional,Lawton/Fort Sill,OK,477.35,624.36," 2,410 ",,,,,,,,,,,
266,HGR,Hagerstown Regional-Richard A. Henson Field,Hagerstown,MD,121.07,158.36," 2,404 ",,,,,,,,,,,
267,MQT,Marquette Sawyer Regional,Marquette,MI,605.36,791.79," 2,351 ",,,,,,,,,,,
268,VLD,Valdosta Regional,Valdosta,GA,560.93,733.68," 2,319 ",,,,,,,,,,,
269,TXK,Texarkana Regional-Webb Field,Texarkana,AR,473.63,619.50," 2,313 ",,,,,,,,,,,
270,GTR,Golden Triangle Regional,Columbus,MS,585.82,766.23," 2,208 ",,,,,,,,,,,
271,YKM,Yakima Air Terminal/McAllister Field,Yakima,WA,425.69,556.79," 2,174 ",,,,,,,,,,,
272,OME,Nome Airport,Nome,AK,523.91,685.26," 2,131 ",,,,,,,,,,,
273,DHN,Dothan Regional,Dothan,AL,651.09,851.61," 2,019 ",,,,,,,,,,,
274,EAT,Pangborn Memorial,Wenatchee,WA,405.03,529.77," 1,991 ",,,,,,,,,,,
275,ABY,Southwest Georgia Regional,Albany,GA,560.92,733.66," 1,956 ",,,,,,,,,,,
276,OTZ,Ralph Wien Memorial,Kotzebue,AK,530.81,694.28," 1,913 ",,,,,,,,,,,
277,FLO,Florence Regional,Florence,SC,415.54,543.51," 1,888 ",,,,,,,,,,,
278,ALW,Walla Walla Regional,Walla Walla,WA,352.39,460.92," 1,871 ",,,,,,,,,,,
279,PGV,Pitt Greenville,Greenville,NC,443.47,580.05," 1,794 ",,,,,,,,,,,
280,GCK,Garden City Regional,Garden City,KS,446.81,584.41," 1,772 ",,,,,,,,,,,
281,BRW,Wiley Post/Will Rogers Memorial,Barrow,AK,602.28,787.77," 1,766 ",,,,,,,,,,,
282,SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,439.09,574.32," 1,761 ",,,,,,,,,,,
283,DRT,Del Rio International,Del Rio,TX,563.94,737.62," 1,742 ",,,,,,,,,,,
284,COD,Yellowstone Regional,Cody,WY,522.22,683.05," 1,715 ",,,,,,,,,,,
285,SPN,Francisco C. Ada Saipan International,Saipan,TT,1320.19,1726.77," 1,674 ",,,,,,,,,,,
286,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,357.93,468.16," 1,638 ",,,,,,,,,,,
287,STC,St. Cloud Regional,St. Cloud,MN,143.01,187.06," 1,602 ",,,,,,,,,,,
288,BJI,Bemidji Regional,Bemidji,MN,262.82,343.76," 1,580 ",,,,,,,,,,,
289,GGG,East Texas Regional,Longview,TX,419.96,549.30," 1,544 ",,,,,,,,,,,
290,ABR,Aberdeen Regional,Aberdeen,SD,321.63,420.68," 1,504 ",,,,,,,,,,,
291,GUC,Gunnison-Crested Butte Regional,Gunnison,CO,567.37,742.10," 1,491 ",,,,,,,,,,,
292,BQK,Brunswick Golden Isles,Brunswick,GA,495.62,648.26," 1,440 ",,,,,,,,,,,
293,CIU,Chippewa County International,Sault Ste. Marie,MI,564.06,737.78," 1,430 ",,,,,,,,,,,
294,ART,Watertown International,Watertown,NY,514.45,672.89," 1,415 ",,,,,,,,,,,
295,DLG,Dillingham Airport,Dillingham,AK,630.82,825.10," 1,397 ",,,,,,,,,,,
296,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,680.86,890.55," 1,382 ",,,,,,,,,,,
297,GCC,Northeast Wyoming Regional,Gillette,WY,547.73,716.42," 1,379 ",,,,,,,,,,,
298,BRD,Brainerd Lakes Regional,Brainerd,MN,182.30,238.45," 1,324 ",,,,,,,,,,,
299,SHR,Sheridan County,Sheridan,WY,616.36,806.18," 1,300 ",,,,,,,,,,,
300,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,627.12,820.26," 1,287 ",,,,,,,,,,,
301,RHI,Rhinelander/Oneida County,Rhinelander,WI,253.76,331.91," 1,281 ",,,,,,,,,,,
302,PPG,Pago Pago International,Pago Pago,TT,1008.83,1319.52," 1,272 ",,,,,,,,,,,
303,ESC,Delta County,Escanaba,MI,538.92,704.90," 1,268 ",,,,,,,,,,,
304,SCC,Deadhorse Airport,Deadhorse,AK,467.99,612.12," 1,246 ",,,,,,,,,,,
305,CYS,Cheyenne Regional/Jerry Olson Field,Cheyenne,WY,579.75,758.29," 1,181 ",,,,,,,,,,,
306,TWF,Joslin Field - Magic Valley Regional,Twin Falls,ID,278.39,364.13," 1,149 ",,,,,,,,,,,
307,EAR,Kearney Regional,Kearney,NE,553.29,723.69," 1,142 ",,,,,,,,,,,
308,IMT,Ford,Iron Mountain/Kingsfd,MI,200.67,262.47," 1,141 ",,,,,,,,,,,
309,CMX,Houghton County Memorial,Hancock/Houghton,MI,521.76,682.45," 1,056 ",,,,,,,,,,,
310,BTM,Bert Mooney,Butte,MT,244.03,319.19," 1,024 ",,,,,,,,,,,
311,HOB,Lea County Regional,Hobbs,NM,489.53,640.29," 1,013 ",,,,,,,,,,,
312,AKN,King Salmon Airport,King Salmon,AK,653.94,855.33, 980 ,,,,,,,,,,,
313,LAR,Laramie Regional,Laramie,WY,392.67,513.60, 969 ,,,,,,,,,,,
314,PSG,Petersburg James A Johnson,Petersburg,AK,436.69,571.18, 963 ,,,,,,,,,,,
315,SUX,Sioux Gateway Brig Gen Bud Day Field,Sioux City,IA,434.99,568.95, 942 ,,,,,,,,,,,
316,PQI,Presque Isle International,Presque Isle/Houlton,ME,648.05,847.64, 941 ,,,,,,,,,,,
317,EAU,Chippewa Valley Regional,Eau Claire,WI,438.34,573.34, 917 ,,,,,,,,,,,
318,SMX,Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria,CA,341.05,446.08, 893 ,,,,,,,,,,,
319,HIB,Range Regional,Hibbing,MN,552.37,722.48, 859 ,,,,,,,,,,,
320,RKS,Southwest Wyoming Regional,Rock Springs,WY,529.85,693.04, 850 ,,,,,,,,,,,
321,DBQ,Dubuque Regional,Dubuque,IA,449.72,588.22, 847 ,,,,,,,,,,,
322,JLN,Joplin Regional,Joplin,MO,495.63,648.27, 830 ,,,,,,,,,,,
323,ALO,Waterloo Regional,Waterloo,IA,469.30,613.84, 829 ,,,,,,,,,,,
324,OWB,Owensboro Daviess County Regional,Owensboro,KY,135.07,176.67, 827 ,,,,,,,,,,,
325,OGD,Ogden-Hinckley,Ogden,UT,84.62,110.68, 813 ,,,,,,,,,,,
326,CDV,Merle K Mudhole Smith,Cordova,AK,429.96,562.37, 796 ,,,,,,,,,,,
327,FNL,Northern Colorado Regional,Fort Collins/Loveland,CO,157.78,206.37, 788 ,,,,,,,,,,,
328,BGM,Greater Binghamton/Edwin A. Link Field,Binghamton,NY,469.85,614.56, 779 ,,,,,,,,,,,
329,APN,Alpena County Regional,Alpena,MI,152.54,199.52, 773 ,,,,,,,,,,,
330,CDC,Cedar City Regional,Cedar City,UT,130.88,171.19, 757 ,,,,,,,,,,,
331,RIW,Central Wyoming Regional,Riverton/Lander,WY,624.82,817.25, 727 ,,,,,,,,,,,
332,PIH,Pocatello Regional,Pocatello,ID,273.63,357.90, 719 ,,,,,,,,,,,
333,LBF,North Platte Regional Airport Lee Bird Field,North Platte,NE,570.19,745.79, 685 ,,,,,,,,,,,
334,MEI,Key Field,Meridian,MS,582.45,761.83, 680 ,,,,,,,,,,,
335,CNY,Canyonlands Regional,Moab,UT,553.37,723.80, 677 ,,,,,,,,,,,
336,OTH,Southwest Oregon Regional,North Bend/Coos Bay,OR,481.28,629.50, 655 ,,,,,,,,,,,
337,PAH,Barkley Regional,Paducah,KY,431.78,564.75, 606 ,,,,,,,,,,,
338,BFF,Western Neb. Regional/William B. Heilig Field,Scottsbluff,NE,579.78,758.33, 602 ,,,,,,,,,,,
339,PRC,Prescott Regional Ernest A Love Field,Prescott,AZ,523.77,685.08, 600 ,,,,,,,,,,,
340,WRG,Wrangell Airport,Wrangell,AK,397.13,519.44, 599 ,,,,,,,,,,,
341,PIR,Pierre Regional,Pierre,SD,655.66,857.59, 581 ,,,,,,,,,,,
342,EKO,Elko Regional,Elko,NV,211.62,276.79, 558 ,,,,,,,,,,,
343,MKG,Muskegon County,Muskegon,MI,391.10,511.55, 535 ,,,,,,,,,,,
344,HYA,Cape Cod Gateway,Hyannis,MA,396.42,518.51, 533 ,,,,,,,,,,,
345,VEL,Vernal Regional,Vernal,UT,652.05,852.86, 527 ,,,,,,,,,,,
346,JMS,Jamestown Regional,Jamestown,ND,627.54,820.81, 504 ,,,,,,,,,,,
347,PIB,Hattiesburg-Laurel Regional,Hattiesburg/Laurel,MS,601.84,787.19, 493 ,,,,,,,,,,,
348,INL,Falls International Einarson Field,International Falls,MN,199.47,260.90, 480 ,,,,,,,,,,,
349,PUB,Pueblo Memorial,Pueblo,CO,431.81,564.79, 465 ,,,,,,,,,,,
350,HYS,Hays Regional,Hays,KS,592.00,774.32, 448 ,,,,,,,,,,,
351,VCT,Victoria Regional,Victoria,TX,436.71,571.20, 424 ,,,,,,,,,,,
352,DEC,Decatur Airport,Decatur,IL,411.89,538.74, 422 ,,,,,,,,,,,
353,SHD,Shenandoah Valley Regional,Staunton,VA,372.02,486.59, 419 ,,,,,,,,,,,
354,ILG,New Castle,Wilmington,DE,196.02,256.40, 383 ,,,,,,,,,,,
355,LBL,Liberal Mid-America Regional,Liberal,KS,559.17,731.38, 356 ,,,,,,,,,,,
356,OGS,Ogdensburg International,Ogdensburg,NY,521.04,681.50, 347 ,,,,,,,,,,,
357,ATY,Watertown Regional,Watertown,SD,561.50,734.43, 336 ,,,,,,,,,,,
358,YAK,Yakutat Airport,Yakutat,AK,367.36,480.50, 326 ,,,,,,,,,,,
359,CGI,Cape Girardeau Regional,Cape Girardeau,MO,488.16,638.50, 310 ,,,,,,,,,,,
360,ALS,San Luis Valley Regional/Bergman Field,Alamosa,CO,555.83,727.01, 309 ,,,,,,,,,,,
361,DDC,Dodge City Regional,Dodge City,KS,544.10,711.67, 308 ,,,,,,,,,,,
362,BKG,Branson Airport,Branson,MO,285.01,372.79, 303 ,,,,,,,,,,,
363,JST,John Murtha Johnstown-Cambria County,Johnstown,PA,548.25,717.09, 288 ,,,,,,,,,,,
364,TBN,Waynesville-St. Robert Regional Forney Field,Fort Leonard Wood,MO,505.94,661.76, 283 ,,,,,,,,,,,
365,DVL,Devils Lake Regional,Devils Lake,ND,662.16,866.09, 266 ,,,,,,,,,,,
366,WYS,Yellowstone,West Yellowstone,MT,796.00,1041.15, 257 ,,,,,,,,,,,
367,LWB,Greenbrier Valley,Lewisburg,WV,441.32,577.24, 242 ,,,,,,,,,,,
368,MCW,Mason City Municipal,Mason City,IA,630.03,824.06, 234 ,,,,,,,,,,,
368,MWA,Veterans Airport of Southern Illinois,Marion/Herrin,IL,490.23,641.21, 234 ,,,,,,,,,,,
370,DUT,Unalaska Airport,Unalaska,AK,995.91,1302.63, 232 ,,,,,,,,,,,
371,CVN,Clovis Regional,Clovis,NM,679.79,889.15, 228 ,,,,,,,,,,,
372,IPL,Imperial County,El Centro,CA,429.69,562.02, 221 ,,,,,,,,,,,
373,GST,Gustavus Airport,Gustavus,AK,209.26,273.71, 202 ,,,,,,,,,,,
374,LEB,Lebanon Municipal,Lebanon-Hanover,NH,483.38,632.24, 192 ,,,,,,,,,,,
375,BKW,Raleigh County Memorial,Beckley,WV,484.89,634.22, 190 ,,,,,,,,,,,
376,AUG,Augusta State,Augusta/Waterville,ME,427.36,558.98, 187 ,,,,,,,,,,,
377,TEX,Telluride Regional,Telluride,CO,583.94,763.77, 171 ,,,,,,,,,,,
378,RUT,Rutland - Southern Vermont Regional,Rutland,VT,457.50,598.39, 155 ,,,,,,,,,,,
379,UIN,Quincy Regional-Baldwin Field,Quincy,IL,479.48,627.14, 146 ,,,,,,,,,,,
380,PKB,Mid-Ohio Valley Regional,Parkersburg,WV,537.87,703.51, 140 ,,,,,,,,,,,
381,BHB,Hancock County-Bar Harbor,Bar Harbor,ME,521.89,682.61, 132 ,,,,,,,,,,,
382,ENA,Kenai Municipal,Kenai,AK,775.23,1013.98, 124 ,,,,,,,,,,,
383,BRL,Southeast Iowa Regional,Burlington,IA,419.43,548.61, 120 ,,,,,,,,,,,
384,MSL,Northwest Alabama Regional,Muscle Shoals,AL,509.30,666.15, 119 ,,,,,,,,,,,
385,TUP,Tupelo Regional,Tupelo,MS,535.83,700.84, 112 ,,,,,,,,,,,
386,IWD,Gogebic-Iron County,Ironwood,MI,512.15,669.88, 109 ,,,,,,,,,,,
387,CEZ,Cortez Municipal,Cortez,CO,633.49,828.59, 105 ,,,,,,,,,,,
388,IRK,Kirksville Regional,Kirksville,MO,445.73,583.01, 104 ,,,,,,,,,,,
389,PVC,Provincetown Municipal,Provincetown,MA,454.78,594.84, 103 ,,,,,,,,,,,
390,RKD,Knox County Regional,Rockland,ME,535.17,699.99, 102 ,,,,,,,,,,,
391,AIA,Alliance Municipal,Alliance,NE,581.47,760.55, 90 ,,,,,,,,,,,
392,PGA,Page Municipal,Page,AZ,532.09,695.96, 89 ,,,,,,,,,,,
393,AOO,Altoona-Blair County,Altoona,PA,568.59,743.70, 87 ,,,,,,,,,,,
394,DUJ,DuBois Regional,DuBois,PA,571.07,746.94, 72 ,,,,,,,,,,,
394,SLK,Adirondack Regional,Saranac Lake/Lake Placid,NY,515.08,673.71, 72 ,,,,,,,,,,,
396,GLH,Greenville Mid Delta,Greenville,MS,581.87,761.07, 70 ,,,,,,,,,,,
397,MGW,Morgantown Municipal Walter L Bill Hart Field,Morgantown,WV,624.10,816.30, 69 ,,,,,,,,,,,
397,VQS,Antonio Rivera Rodriguez,Vieques,PR,477.50,624.56, 69 ,,,,,,,,,,,
399,ADK,Adak,Adak Island,AK,992.77,1298.51, 66 ,,,,,,,,,,,
400,HOM,Homer Airport,Homer,AK,733.68,959.64, 65 ,,,,,,,,,,,
401,TVF,Thief River Falls Regional,Thief River Falls,MN,665.72,870.75, 60 ,,,,,,,,,,,
402,MAZ,Eugenio Maria de Hostos,Mayaguez,PR,477.96,625.16, 58 ,,,,,,,,,,,
403,MSS,Massena International-Richards Field,Massena,NY,496.49,649.40, 56 ,,,,,,,,,,,
404,FOD,Fort Dodge Regional,Fort Dodge,IA,679.23,888.41, 54 ,,,,,,,,,,,
405,SOW,Show Low Regional,Show Low,AZ,573.28,749.83, 46 ,,,,,,,,,,,
406,SDY,Sidney Richland Regional,Sidney,MT,519.11,678.99, 45 ,,,,,,,,,,,
407,CNM,Cavern City Air Terminal,Carlsbad,NM,469.68,614.33, 43 ,,,,,,,,,,,
408,CDR,Chadron Municipal,Chadron,NE,543.87,711.37, 34 ,,,,,,,,,,,
408,MCK,McCook Ben Nelson Regional,McCook,NE,604.40,790.54, 34 ,,,,,,,,,,,
410,BFD,Bradford Regional,Bradford,PA,514.61,673.09, 32 ,,,,,,,,,,,
411,LNS,Lancaster Airport,Lancaster,PA,379.13,495.89, 29 ,,,,,,,,,,,
412,GDV,Dawson Community,Glendive,MT,588.11,769.23, 26 ,,,,,,,,,,,
413,MKK,Molokai,Hoolehua,HI,665.73,870.75, 20 ,,,,,,,,,,,
414,HVR,Havre City-County,Havre,MT,545.18,713.08, 16 ,,,,,,,,,,,
414,OLF,L. M. Clayton,Wolf Point,MT,528.70,691.53, 16 ,,,,,,,,,,,
416,VDZ,Valdez Pioneer Field,Valdez,AK,702.01,918.21, 13 ,,,,,,,,,,,
417,GGW,Wokal Field Glasgow Valley County,Glasgow,MT,565.33,739.44, 11 ,,,,,,,,,,,
418,LNY,Lanai Airport,Lanai,HI,1076.22,1407.67, 7 ,,,,,,,,,,,
418,CDB,Cold Bay Airport,Cold Bay,AK,884.57,1156.99, 7 ,,,,,,,,,,,
420,JHM,Kapalua Airport,Kapalua,HI,844.63,1104.75, 6 ,,,,,,,,,,,
421,MCN,Middle Georgia Regional,Macon,GA,456.81,597.50, 4 ,,,,,,,,,,,
421,SDP,Sand Point,Sandpoint,AK,968.03,1266.16, 4 ,,,,,,,,,,,
423,SNP,St. Paul Island,St. Paul,AK,969.61,1268.22, 3 ,,,,,,,,,,,
424,JBR,Jonesboro Municipal,Jonesboro,AR,303.24,396.63, 1 ,,,,,,,,,,,
425,CEC,Jack McNamara Field,Crescent City,CA,449.13,587.45, -   ,,,,,,,,,,,
425,CIC,Chico Regional,Chico,CA,515.52,674.28, -   ,,,,,,,,,,,
425,CLD,McClellan-Palomar,Carlsbad,CA,420.54,550.05, -   ,,,,,,,,,,,
425,FKL,Venango Regional,Franklin/Oil City,PA,483.34,632.20, -   ,,,,,,,,,,,
425,FMN,Four Corners Regional,Farmington,NM,587.99,769.07, -   ,,,,,,,,,,,
425,FOE,Topeka Regional,Topeka,KS,207.60,271.54, -   ,,,,,,,,,,,
425,GBD,Great Bend Municipal,Great Bend,KS,634.22,829.55, -   ,,,,,,,,,,,
425,GYY,Gary/Chicago International,Gary,IN,109.63,143.39, -   ,,,,,,,,,,,
425,HFD,Hartford Brainard,Hartford,CT,309.00,404.16, -   ,,,,,,,,,,,
425,HON,Huron Regional,Huron,SD,662.00,865.88, -   ,,,,,,,,,,,
425,IFP,Laughlin/Bullhead International,Bullhead City,AZ,188.11,246.04, -   ,,,,,,,,,,,
425,IGM,Kingman Airport,Kingman,AZ,475.06,621.36, -   ,,,,,,,,,,,
425,IPT,Williamsport Regional,Williamsport,PA,542.35,709.38, -   ,,,,,,,,,,,
425,ISN,Sloulin Field International,Williston,ND,694.84,908.84, -   ,,,,,,,,,,,
425,IYK,Inyokern Airport,Inyokern,CA,1040.37,1360.77, -   ,,,,,,,,,,,
425,JHW,Chautauqua County/Jamestown,Jamestown,NY,498.12,651.53, -   ,,,,,,,,,,,
425,LAM,Los Alamos Airport,Los Alamos,NM,325.40,425.61, -   ,,,,,,,,,,,
425,LMT,Crater Lake Klamath Regional,Klamath Falls,OR,500.58,654.75, -   ,,,,,,,,,,,
425,MCE,Merced Yosemite Regional,Merced,CA,316.67,414.20, -   ,,,,,,,,,,,
425,MLS,Frank Wiley Field,Miles City,MT,423.25,553.60, -   ,,,,,,,,,,,
425,MMH,Mammoth Lakes Airport,Mammoth Lakes,CA,183.85,240.47, -   ,,,,,,,,,,,
425,MOD,Modesto City-County-Harry Sham Field,Modesto,CA,548.86,717.89, -   ,,,,,,,,,,,
425,ROP,Benjamin Taisacan Manglona International,Rota,TT,1111.63,1453.98, -   ,,,,,,,,,,,
425,SPB,Charlotte Amalie Harbor Seaplane Base,Charlotte Amalie,VI,274.00,358.38, -   ,,,,,,,,,,,
425,SVC,Grant County,Silver City/Hurley,NM,518.62,678.34, -   ,,,,,,,,,,,
425,VIS,Visalia Municipal,Visalia,CA,403.02,527.14, -   ,,,,,,,,,,,
425,WRL,Worland Municipal,Worland,WY,619.58,810.40, -   ,,,,,,,,,,,
425,YNG,Youngstown-Warren Regional,Youngstown/Warren,OH,109.34,143.01, -   ,,,,,,,,,,,
National Average,,,,,381.95,,,,,,,,,,,,,
"Source:  Bureau of Transportation Statistics, Airline Origin & Destination Survey (10% Sample), DB1B_Ticket where bulk fare equals zero, itinerary fare is greater than or equal to fifty dollars ($50) and itinerary yield is less than or equal to three dollars ($3).",,,,,,,,,,,,,,,,,,
"Itinerary Fare:  Average fares are based on domestic itinerary fares, round-trip or one-way for which no return is purchased. Fares are based on the total ticket value which consists of the price charged by the airlines plus any additional taxes and fees levied by an outside entity at the time of purchase. Fares include only the price paid at the time of the ticket purchase and do not include other fees, such as baggage fees, paid at the airport or onboard the aircraft. Averages do not include frequent-flyer or 'zero fares' or a few abnormally high reported fares.  Airports* ranked by U.S. originating domestic passengers in 2022.",,,,,,,,,,,,,,,,,,
