Average Domestic Airline Itinerary Fares By Origin City for 2013 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2023),2022 Passengers (10% sample),,,,,,,,,,,
60,BOI,Boise Air Terminal,Boise,ID,396.06,518.04," 123,162 ",,,,,,,,,,,
61,CHS,Charleston AFB/International,Charleston,SC,400.84,524.29," 122,207 ",,,,,,,,,,,
62,BUF,Buffalo Niagara International,Buffalo,NY,324.47,424.40," 121,735 ",,,,,,,,,,,
63,ORF,Norfolk International,Norfolk,VA,410.31,536.67," 117,993 ",,,,,,,,,,,
64,ABQ,Albuquerque International Sunport,Albuquerque,NM,350.49,458.43," 117,060 ",,,,,,,,,,,
65,OGG,Kahului Airport,Kahului,HI,271.44,355.04," 113,378 ",,,,,,,,,,,
66,ELP,El Paso International,El Paso,TX,381.99,499.63," 113,101 ",,,,,,,,,,,
67,GRR,Gerald R. Ford International,Grand Rapids,MI,442.34,578.57," 108,941 ",,,,,,,,,,,
68,OKC,Will Rogers World,Oklahoma City,OK,409.31,535.37," 107,989 ",,,,,,,,,,,
69,SDF,Louisville Muhammad Ali International,Louisville,KY,400.95,524.43," 106,632 ",,,,,,,,,,,
70,ANC,Ted Stevens Anchorage International,Anchorage,AK,529.63,692.74," 105,666 ",,,,,,,,,,,
71,GEG,Spokane International,Spokane,WA,377.01,493.12," 104,809 ",,,,,,,,,,,
72,RNO,Reno/Tahoe International,Reno,NV,349.76,457.47," 100,069 ",,,,,,,,,,,
73,PVD,Rhode Island Tf Green International,Providence,RI,338.91,443.29," 96,518 ",,,,,,,,,,,
74,TUS,Tucson International,Tucson,AZ,381.10,498.47," 90,011 ",,,,,,,,,,,
75,DSM,Des Moines International,Des Moines,IA,396.19,518.21," 86,426 ",,,,,,,,,,,
76,LGB,Long Beach Airport,Long Beach,CA,239.61,313.41," 85,454 ",,,,,,,,,,,
77,TUL,Tulsa International,Tulsa,OK,438.42,573.44," 80,986 ",,,,,,,,,,,
78,SYR,Syracuse Hancock International,Syracuse,NY,415.86,543.93," 79,344 ",,,,,,,,,,,
